name,latitude,longitude
Döner 4 bros,52.3653091,13.3139813
Efe Grill,52.392762,13.2893346
Mac's Döner,52.4058776,13.2346072
Ali Baba,52.3960543,13.2403962
Teltower Grillhaus,52.4013274,13.2604902
Döner Eck MC,52.4107946,13.2619457
Dream'z,52.4373092,13.2322293
Dönerthek,52.4233888,13.2420327
Efes,52.4301731,13.2593821
Sumak,52.4314015,13.2594014
Dream'z,52.4427638,13.2411217
Civan’s Imbiss,52.4356883,13.2611587
DÖNER Tempel,52.4005841,13.2697897
Sultan,52.4184266,13.3051527
Furat Kebab,52.4205413,13.3133175
Döner World,52.4191868,13.3131746
Kristall Imbiss,52.4431579,13.2968098
Döner Karwendel,52.4354254,13.3126401
Döner Box,52.4436128,13.3159115
City Grill,52.3607403,13.4097778
Dürümcü Baba,52.386512,13.4001477
Balli,52.3869891,13.4084529
Kebab Haus,52.3865266,13.4024826
Seven Grill,52.4143333,13.3643082
Kebab 45,52.4280524,13.3267924
Döner,52.4299162,13.3324722
Dönerwache,52.4286329,13.3470503
Kings Döner,52.437068,13.3448426
Döneria,52.4354068,13.343927
Döner Box,52.4360093,13.3448806
TAS Gemüse Kebap,52.4366315,13.3455905
Gemüse Kebap,52.4360455,13.3466277
Grimm Döner,52.3983851,13.4060583
Barlys,52.4149931,13.4012323
Golt'z Kebap,52.426553,13.3939643
Kebaphaus,52.4434388,13.3865671
Konti Döner,52.4236334,13.396395
Döner,52.4502488,13.2699166
M&S Gemüsekebap,52.4489953,13.3156106
Duran Imbiss,52.4501745,13.315799
Adana Imbiss,52.4750015,13.2924623
Sila Grillhaus,52.4805877,13.3121951
König Döner,52.4884468,13.3010624
Safran Grill,52.4908227,13.3131766
Rodi,52.5399055,13.2317394
Prime Kebab,52.5103092,13.271345
Kaiser Bistro,52.5103854,13.2840724
TEOS Kebap,52.5062604,13.2833464
Eat&GO,52.5100946,13.2778045
Orient Grill,52.5192259,13.2904643
Teos Bistro,52.5065822,13.2945528
Döner Bros,52.5071715,13.3019656
Imbiss 55,52.499941,13.306834
Prime166,52.4998032,13.3076114
Tasty Döner 63,52.5050521,13.3073812
Superhahn,52.5067826,13.3079077
Bärlin Spezial,52.5069224,13.3044073
Wilma Döner,52.5104057,13.3057536
By Ali,52.5064184,13.3144502
Gap,52.5089991,13.3145533
DöPi 19,52.5163021,13.2937033
Musti's Gemüse Döner,52.5165709,13.3084286
Lale,52.517489,13.3072703
Medi-Tat,52.5255491,13.3054467
Öz Kebaphaus,52.5255415,13.3074766
Metro Döner,52.4556846,13.3221996
City Döner,52.4570794,13.3220028
Metro Vital Kebab Imbiss,52.4561604,13.3207471
Kebap House,52.4508328,13.3385215
Steglitzer Grillhaus,52.4510883,13.3397482
Cebo’s Gemüsedöner,52.4585682,13.3220286
Döner King,52.4604168,13.3233757
it's Mo,52.4594259,13.3234349
Schloss Döner,52.4633965,13.3266735
Jasmin,52.4597055,13.3241017
Bistro M&C,52.4617313,13.324988
Barlys,52.4688809,13.3322025
Dewi's Kebaphaus,52.4697381,13.3417636
GUT_SEL GRILL,52.4669182,13.3439611
Chicken & Burger Home,52.4819109,13.3201459
La Corniche,52.4781011,13.3281618
63 Gemüse Kebab,52.4720649,13.3355466
Max & Moritz,52.4862408,13.3215366
Uhland Bistro,52.4868452,13.3222597
Istanbul Grill,52.4868461,13.3202727
Bistro Femo,52.4866356,13.326034
Henne Frieda - Gemüse Döner,52.4866772,13.3236395
Celbis,52.4881711,13.3353391
Döner Time,52.4881065,13.3404412
Döner Kebap,52.4933225,13.3319807
Haupt Grill,52.4813345,13.3481061
Döneria,52.4802036,13.3524664
Döner Zade,52.4808706,13.350039
Dedem,52.4802155,13.3515263
Mir Döner,52.4814388,13.3496897
Grillstation,52.4855462,13.3453446
Ziyade,52.4895328,13.3485639
Rüyam,52.484536,13.3524074
7 Days,52.4851221,13.3536899
Döner & Köfte,52.4969291,13.3543603
Barbarossa Grill,52.4919686,13.3510002
Efdal,52.4862522,13.3613204
Sufi,52.490636,13.3608188
Köyüm Imbiss,52.4901048,13.3612042
Imren,52.489346,13.3596601
Efsane,52.486538,13.3576383
Has Mevlana,52.487712,13.3581352
Döner 27,52.4855063,13.3623727
hamdi baba,52.489807,13.3600591
Istanbul Grill,52.4976192,13.3616426
Döner & Chicken,52.4971744,13.3614604
Hisar,52.4929355,13.3687704
Arslan Döner,52.4464214,13.3719849
Neue Döneria,52.457968,13.3839095
Kısmet Grill,52.4594211,13.3765994
YE-MC,52.4600192,13.3844195
Hamdi Baba Döner,52.4651436,13.3858349
mc Kebap,52.4708825,13.3850972
Birecik Döner Kebab,52.4651474,13.3947403
Grünes Wasser,52.455833,13.401389
Kalazan Döner,52.4530566,13.4216516
Avci,52.4602877,13.418009
Bistro Nazar,52.4844684,13.3852862
Döneria,52.4843887,13.3844875
Sara Chicken Gemüse Kebap,52.4897329,13.3884523
Orient Esspress,52.4894455,13.3936407
York's Kebap,52.4928448,13.386576
Mustafa's Gemüse Kebap,52.4939794,13.3880216
Orginal Chicken Gemüse Kebap,52.4914281,13.3947858
International Döner,52.4950472,13.4204604
Mangal Döner X Lukas Podolski,52.4953785,13.4202503
Keb'up,52.4976693,13.3246068
Zaddy's,52.5039868,13.3364255
City Imbiss,52.4990007,13.3357092
Dürümcü Baba,52.506103,13.3332718
Zaddy's,52.5060608,13.331956
Hakiki,52.505499,13.3308951
Rüya Gemüse Kebab,52.5137921,13.3170309
Imbiss Restaurant Traum,52.5212578,13.3221996
Reva,52.503807,13.3440644
Döner Game,52.5040612,13.3465685
Keb'Up House,52.4987341,13.3538051
Balli,52.4990491,13.3546365
Ceylan Kebap Haus,52.4988853,13.3537046
Fadi,52.4987353,13.3627192
Alzad,52.4983467,13.3619442
Kaplan,52.5000846,13.3627489
Yaprak Döner,52.4977355,13.3612508
Florya's Burger House,52.5031493,13.3660423
Best Döner Kebap Berlin,52.5274898,13.3295892
Weiße Bude,52.5240313,13.3294843
Gemüse-Döner,52.5268538,13.3360289
Metrom Bistro,52.5254238,13.3413575
Humbaba,52.5263088,13.3382169
Moabiter Döner,52.5267223,13.3373717
Birken-Eck,52.5321525,13.3425101
Big Döner,52.525184,13.3432467
The Kebab,52.5274109,13.3440762
Oggi's Gemüsekebab,52.5294618,13.3688309
Eyvan,52.5356042,13.3570659
King Döneria,52.5416966,13.3538217
Harbi Burger,52.5474432,13.3470409
Döner Game,52.5494149,13.354272
Beybaba Döner,52.5433454,13.363999
Kaplan,52.5461326,13.3591332
Lahmacun Kebab Haus,52.5456829,13.357578
Nazar Grillhaus,52.5483558,13.3600261
Gemüse Kebap Servet's,52.545773,13.3586095
